action_ref,owner,pin_type,kind,repo_count,total_uses
EdisonLabs/sns-publish-workflow-status-action@v1,EdisonLabs,tag,action,2885,5788
shivammathur/setup-php@v2,shivammathur,tag,action,99,452
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,action,53,432
octokit/request-action@v2.x,octokit,tag,action,300,301
planetscale/ghcommit-action@v0.2.0,planetscale,tag,action,291,292
peter-evans/create-or-update-comment@v4,peter-evans,tag,action,90,270
andstor/file-existence-action@v2,andstor,tag,action,23,253
gr2m/create-or-update-pull-request-action@v1.x,gr2m,tag,action,121,166
crazy-max/ghaction-github-labeler@v1,crazy-max,tag,action,130,130
shivammathur/setup-php@v2,shivammathur,tag,action,29,118
browserstack/github-actions/setup-local@master,browserstack,branch,action,5,98
crazy-max/ghaction-github-labeler@v5,crazy-max,tag,action,80,80
peter-evans/create-or-update-comment@71345be0265236311c031f5c7866368bd1eff043,peter-evans,sha,action,16,78
dependabot/fetch-metadata@v2.2.0,dependabot,tag,action,76,76
byu-oit/github-action-create-ecr-repo-if-missing@v1,byu-oit,tag,action,6,70
WyriHaximus/github-action-wait-for-status@master,WyriHaximus,branch,action,68,68
peter-evans/create-or-update-comment@e8674b075228eee787fea43ef493e45ece1004c9,peter-evans,sha,action,12,61
release-drafter/release-drafter@v5.3.0,release-drafter,tag,action,56,56
TimonVS/pr-labeler-action@v3,TimonVS,tag,action,56,56
browserstack/github-actions/setup-env@master,browserstack,branch,action,9,53
ankane/setup-opensearch@v1,ankane,tag,action,51,53
reviewdog/action-actionlint@v1,reviewdog,tag,action,51,51
r-lib/actions/setup-r@v2,r-lib,tag,action,25,51
r-lib/actions/setup-r-dependencies@v2,r-lib,tag,action,24,50
bryannice/gitactions-jira-issue-creation@master,bryannice,branch,action,46,46
databricks/setup-cli@main,databricks,branch,action,10,46
tzkhan/pr-update-action@v2,tzkhan,tag,action,46,46
hmarr/debug-action@v2,hmarr,tag,action,43,45
ad-m/github-push-action@master,ad-m,branch,action,10,44
seqeralabs/action-tower-launch@v2,seqeralabs,tag,action,17,42
graalvm/setup-graalvm@v1,graalvm,tag,action,31,42
astral-sh/setup-uv@v5,astral-sh,tag,action,26,41
AutoModality/action-clean@v1,AutoModality,tag,action,7,41
cloudflare/wrangler-action@v3,cloudflare,tag,action,16,40
cloudflare/wrangler-action@v3,cloudflare,tag,action,10,38
nf-core/setup-nextflow@v2,nf-core,tag,action,18,38
mshick/add-pr-comment@b8f338c590a895d50bcbfa6c5859251edc8952fc,mshick,sha,action,21,36
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,action,3,34
patrickpaulin/ms-teams-deploy-card@master,patrickpaulin,branch,action,20,33
xom9ikk/dotenv@v2.3.0,xom9ikk,tag,action,10,32
stumason/codebuild-logs@v2,stumason,tag,action,25,31
tj-actions/changed-files@e0021407031f5be11a464abee9a0776171c79891,tj-actions,sha,action,3,29
anothrNick/github-tag-action@1.61.0,anothrNick,tag,action,25,25
adobe/aio-apps-action@3.3.0,adobe,tag,action,2,24
Azure/k8s-deploy@v5,Azure,tag,action,1,24
snyk/actions/dotnet@master,snyk,branch,action,23,23
snyk/actions/golang@master,snyk,branch,action,23,23
release-drafter/release-drafter@v5,release-drafter,tag,action,23,23
snyk/actions/cocoapods@master,snyk,branch,action,23,23
snyk/actions/gradle@master,snyk,branch,action,23,23
snyk/actions/docker@master,snyk,branch,action,23,23
snyk/actions/iac@master,snyk,branch,action,23,23
elastic/elastic-github-actions/elasticsearch@master,elastic,branch,action,23,23
srvaroa/labeler@master,srvaroa,branch,action,23,23
snyk/actions/scala@master,snyk,branch,action,23,23
snyk/actions/node@master,snyk,branch,action,23,23
snyk/actions/maven@master,snyk,branch,action,23,23
snyk/actions/ruby@master,snyk,branch,action,23,23
snyk/actions/python@master,snyk,branch,action,23,23
NuGet/setup-nuget@v1.1.1,NuGet,tag,action,23,23
jlumbroso/free-disk-space@54081f138730dfa15788a46383842cd2f914a1be,jlumbroso,sha,action,18,23
cloudflare/wrangler-action@v3,cloudflare,tag,action,6,22
andstor/file-existence-action@v2,andstor,tag,action,2,22
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,action,7,21
hmarr/debug-action@v2.0.1,hmarr,tag,action,1,21
hadolint/hadolint-action@v3.1.0,hadolint,tag,action,20,20
dkershner6/post-api-call-action@v2,dkershner6,tag,action,3,19
astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b,astral-sh,sha,action,11,19
peter-evans/create-pull-request@v7,peter-evans,tag,action,16,17
nf-core/setup-nextflow@v1,nf-core,tag,action,7,17
r-lib/actions/setup-pandoc@v2,r-lib,tag,action,10,17
astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,astral-sh,sha,action,6,17
browser-actions/setup-chrome@latest,browser-actions,branch,action,5,17
iamtheyammer/branch-env-vars@v1.0.3,iamtheyammer,tag,action,16,16
pietrobolcato/action-read-yaml@9f13718d61111b69f30ab4ac683e67a56d254e1d,pietrobolcato,sha,action,16,16
nf-core/setup-nextflow@b4ec1bc7c16a94435159de94a05253542fddf6ef,nf-core,sha,action,4,16
accelq/accelq-ci-github-actions@v1.1,accelq,tag,action,2,16
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,action,4,15
nichmor/minimal-read-yaml@1f7205277e25e156e1f63815781db80a6d490b8f,nichmor,sha,action,15,15
astral-sh/setup-uv@v4,astral-sh,tag,action,5,15
adobe/aio-apps-action@3.4.0,adobe,tag,action,1,14
step-security/changed-files@v45,step-security,tag,action,14,14
rzr/fediverse-action@master,rzr,branch,action,14,14
adobe/aio-cli-setup-action@1.3.0,adobe,tag,action,3,14
astral-sh/setup-uv@v4,astral-sh,tag,action,9,14
tj-actions/changed-files@v31,tj-actions,tag,action,3,14
dawidd6/action-download-artifact@ac66b43f0e6a346234dd65d4d0c8fbb31cb316e5,dawidd6,sha,action,13,13
prefix-dev/setup-pixi@1b2de7f3351f171c8b4dfeb558c639cb58ed4ec0,prefix-dev,sha,action,7,13
xom9ikk/dotenv@v2,xom9ikk,tag,action,12,13
nuget/setup-nuget@v1,nuget,tag,action,13,13
Azure/functions-action@v1,Azure,tag,action,8,12
TimonVS/pr-labeler-action@v5,TimonVS,tag,action,12,12
peter-evans/create-or-update-comment@v5,peter-evans,tag,action,4,12
r-lib/actions/check-r-package@v2,r-lib,tag,action,11,12
nowactions/envsubst@v1,nowactions,tag,action,12,12
eWaterCycle/setup-apptainer@4bb22c52d4f63406c49e94c804632975787312b3,eWaterCycle,sha,action,12,12
astral-sh/setup-uv@803947b9bd8e9f986429fa0c5a41c367cd732b41,astral-sh,sha,action,7,12
astral-sh/setup-uv@04224aa8caab79e9c08d41c1ef06d6394aafe6a0,astral-sh,sha,action,12,12
andstor/file-existence-action@v1,andstor,tag,action,10,12
mshick/add-pr-comment@v1,mshick,tag,action,6,11
stumason/codebuild-logs@v1,stumason,tag,action,9,11
peter-evans/create-or-update-comment@v2,peter-evans,tag,action,1,11
astral-sh/setup-uv@v5,astral-sh,tag,action,6,11
paulhatch/semantic-version@v5.0.3,paulhatch,tag,action,5,11
andstor/file-existence-action@v2,andstor,tag,action,1,11
pnpm/action-setup@v4,pnpm,tag,action,5,11
crazy-max/ghaction-github-labeler@v4,crazy-max,tag,action,11,11
aquasecurity/trivy-action@57a97c7e7821a5776cebc9bb87c984fa69cba8f1,aquasecurity,sha,action,5,10
DamianReeves/write-file-action@master,DamianReeves,branch,action,5,10
astral-sh/setup-uv@v3,astral-sh,tag,action,4,10
robinraju/release-downloader@v1.7,robinraju,tag,action,5,10
open-policy-agent/setup-opa@34a30e8a924d1b03ce2cf7abe97250bbb1f332b5,open-policy-agent,sha,action,5,10
simbo/msteams-message-card-action@latest,simbo,branch,action,2,10
peter-evans/create-pull-request@c0f553fe549906ede9cf27b5156039d195d2ece0,peter-evans,sha,action,9,10
astral-sh/setup-uv@v7,astral-sh,tag,action,3,10
shivammathur/setup-php@2.12.0,shivammathur,tag,action,5,10
release-drafter/release-drafter@v6.1.0,release-drafter,tag,action,10,10
morrisoncole/pr-lint-action@v1.5.0,morrisoncole,tag,action,10,10
snyk/actions/iac@master,snyk,branch,action,2,9
softprops/action-gh-release@v2,softprops,tag,action,8,9
dtolnay/rust-toolchain@stable,dtolnay,branch,action,3,9
stCarolas/setup-maven@v5,stCarolas,tag,action,4,9
r-lib/actions/setup-r@v2,r-lib,tag,action,4,9
hmanzur/actions-set-secret@v2.0.0,hmanzur,tag,action,3,9
crazy-max/ghaction-import-gpg@v6,crazy-max,tag,action,6,9
byu-oit/github-action-create-ecr-repo-if-missing@v1,byu-oit,tag,action,3,9
dawidd6/action-send-mail@v3.6.0,dawidd6,tag,action,1,8
aquasecurity/trivy-action@b6643a29fecd7f34b3597bc6acb0a98b03d33ff8,aquasecurity,sha,action,2,8
bazel-contrib/setup-bazel@c5acdfb288317d0b5c0bbd7a396a3dc868bb0f86,bazel-contrib,sha,action,1,8
astral-sh/setup-uv@v7,astral-sh,tag,action,8,8
sliteteam/github-action-git-crypt-unlock@1.2.0,sliteteam,tag,action,1,8
databricks/setup-cli@137ce208202e4b46c70a80568b206fdc7373c869,databricks,sha,action,2,8
astral-sh/setup-uv@v5,astral-sh,tag,action,3,8
astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b,astral-sh,sha,action,2,7
tj-actions/changed-files@v45,tj-actions,tag,action,5,7
crazy-max/ghaction-import-gpg@v6,crazy-max,tag,action,4,7
marocchino/sticky-pull-request-comment@773744901bac0e8cbb5a0dc842800d45e9b2b405,marocchino,sha,action,7,7
astral-sh/setup-uv@v4,astral-sh,tag,action,5,7
tj-actions/changed-files@v44,tj-actions,tag,action,4,7
pre-commit/action@v3.0.1,pre-commit,tag,action,7,7
zentered/bluesky-post-action@6461056ea355ea43b977e149f7bf76aaa572e5e8,zentered,sha,action,7,7
astral-sh/setup-uv@eac588ad8def6316056a12d4907a9d4d84ff7a3b,astral-sh,sha,action,2,7
stCarolas/setup-maven@v5,stCarolas,tag,action,4,7
marocchino/sticky-pull-request-comment@331f8f5b4215f0445d3c07b4967662a32a2d3e31,marocchino,sha,action,7,7
astral-sh/setup-uv@37802adc94f370d6bfd71619e3f0bf239e1f3b78,astral-sh,sha,action,2,7
tj-actions/changed-files@v34.4.2,tj-actions,tag,action,7,7
softprops/action-gh-release@v1,softprops,tag,action,5,7
marocchino/sticky-pull-request-comment@52423e01640425a022ef5fd42c6fb5f633a02728,marocchino,sha,action,7,7
gradle/gradle-build-action@v2,gradle,tag,action,6,7
snok/install-poetry@v1,snok,tag,action,5,7
release-drafter/release-drafter@v6.0.0,release-drafter,tag,action,7,7
gradle/gradle-build-action@67421db6bd0bf253fb4bd25b31ebb98943c375e1,gradle,sha,action,7,7
skitionek/notify-microsoft-teams@0953822ab410e9a50e2abd2d6d8f85230b1ae4d6,skitionek,sha,action,2,7
Seagen/tops-data-science/.github/workflows/terraform-plan-apply.yml@development,Seagen,branch,reusable_workflow,3,7
sfdx-actions/setup-sfdx@v1,sfdx-actions,tag,action,3,7
release-drafter/release-drafter@v5.15.0,release-drafter,tag,action,7,7
jesusvasquez333/verify-pr-label-action@v1.4.0,jesusvasquez333,tag,action,7,7
php-actions/composer@v6,php-actions,tag,action,7,7
dependabot/fetch-metadata@v3.1.0,dependabot,tag,action,7,7
astral-sh/setup-uv@38f3f104447c67c051c4a08e39b64a148898af3a,astral-sh,sha,action,4,6
Seagen/tops-data-science/.github/workflows/workspace-environment.yml@development,Seagen,branch,reusable_workflow,2,6
prefix-dev/setup-pixi@v0.9.0,prefix-dev,tag,action,6,6
astral-sh/setup-uv@d4b2f3b6ecc6e67c4457f6d3e41ec42d3d0fcb86,astral-sh,sha,action,3,6
Swatinem/rust-cache@v2,Swatinem,tag,action,1,6
prefix-dev/setup-pixi@v0,prefix-dev,tag,action,1,6
astral-sh/setup-uv@v5,astral-sh,tag,action,6,6
technote-space/get-diff-action@v6,technote-space,tag,action,1,6
r-lib/actions/setup-r@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
r-lib/actions/setup-pandoc@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
SonarSource/sonarqube-scan-action@v6,SonarSource,tag,action,6,6
marocchino/sticky-pull-request-comment@v2,marocchino,tag,action,6,6
mshick/add-pr-comment@8e4927817251f1ff60c001f04568532b38e0b4a0,mshick,sha,action,4,6
r-lib/actions/setup-r-dependencies@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
r-lib/actions/check-r-package@6f6e5bc62fba3a704f74e7ad7ef7676c5c6a2590,r-lib,sha,action,6,6
terraform-linters/setup-tflint@v4,terraform-linters,tag,action,6,6
browserstack/github-actions/setup-local@5962ee78f5cf0647e9ff00026c3b98c307daa251,browserstack,sha,action,1,6
sisodiya2421/pinger@master,sisodiya2421,branch,action,1,6
LouisBrunner/checks-action@87e7256e004e2625f00da7b5fd8c855cb520da89,LouisBrunner,sha,action,1,6
allenevans/set-env@b68e0a75c99b96b43963b54bc2be13e2f103ad87,allenevans,sha,action,2,6
peter-evans/repository-dispatch@v2,peter-evans,tag,action,6,6
crazy-max/ghaction-github-labeler@v6,crazy-max,tag,action,6,6
chrnorm/deployment-status@releases/v1,chrnorm,branch,action,3,6
anothrNick/github-tag-action@1.39.0,anothrNick,tag,action,4,6
Mattraks/delete-workflow-runs@v2,Mattraks,tag,action,6,6
technote-space/get-diff-action@v6,technote-space,tag,action,1,6
repo-sync/pull-request@v2,repo-sync,tag,action,4,6
stCarolas/setup-maven@v4.4,stCarolas,tag,action,3,6
ruby/setup-ruby@v1,ruby,tag,action,5,5
snyk/actions/docker@master,snyk,branch,action,3,5
conda-incubator/setup-miniconda@v3,conda-incubator,tag,action,1,5
tj-actions/changed-files@v46,tj-actions,tag,action,2,5
iamtheyammer/branch-env-vars@v1.0.4,iamtheyammer,tag,action,5,5
stumason/codebuild-logs@v3,stumason,tag,action,5,5
dependabot/fetch-metadata@v2.4.0,dependabot,tag,action,5,5
SonarSource/sonarqube-scan-action@v5,SonarSource,tag,action,5,5
hmarr/debug-action@v3,hmarr,tag,action,5,5
nf-core/setup-nextflow@6c2e22b4d901f0c42ca66c5069f8026df026d165,nf-core,sha,action,2,5
astral-sh/setup-uv@61cb8a9741eeb8a550a1b8544337180c0fc8476b,astral-sh,sha,action,2,5
dawidd6/action-download-artifact@v2,dawidd6,tag,action,5,5
Seagen/tops-data-science/.github/workflows/docker-build-push-gcp.yml@add-filename-for-docker,Seagen,branch,reusable_workflow,1,5
zentered/bluesky-post-action@80dbe0a7697de18c15ad22f4619919ceb5ccf597,zentered,sha,action,5,5
j178/prek-action@bdca6f102f98e2b4c7029491a53dfd366469e33d,j178,sha,action,2,5
astral-sh/setup-uv@v6,astral-sh,tag,action,4,5
webfactory/ssh-agent@v0.9.0,webfactory,tag,action,2,5
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,action,3,5
psf/black@stable,psf,branch,action,5,5
tj-actions/changed-files@v45,tj-actions,tag,action,3,5
simple-elf/allure-report-action@master,simple-elf,branch,action,1,4
peter-evans/create-pull-request@v7,peter-evans,tag,action,3,4
crazy-max/ghaction-docker-meta@v1,crazy-max,tag,action,2,4
databricks/setup-cli@9925cdb329614cccdba6f9a847ae9c095db12b13,databricks,sha,action,2,4
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,action,1,4
peaceiris/actions-gh-pages@v2,peaceiris,tag,action,1,4
dependency-check/Dependency-Check_Action@main,dependency-check,branch,action,3,4
oven-sh/setup-bun@v2,oven-sh,tag,action,3,4
jfrog/setup-jfrog-cli@v4,jfrog,tag,action,4,4
ncipollo/release-action@v1,ncipollo,tag,action,2,4
pnpm/action-setup@fc06bc1257f339d1d5d8b3a19a8cae5388b55320,pnpm,sha,action,1,4
appleboy/ssh-action@v1.2.0,appleboy,tag,action,1,4
shivammathur/setup-php@v2,shivammathur,tag,action,1,4
ruby/setup-ruby@afeafc3d1ab54a631816aba4c914a0081c12ff2f,ruby,sha,action,1,4
Wandalen/wretry.action@v1.0.11,Wandalen,tag,action,1,4
peter-evans/create-or-update-comment@v2,peter-evans,tag,action,1,4
tj-actions/branch-names@v5.2,tj-actions,tag,action,1,4
j178/prek-action@6ad80277337ad479fe43bd70701c3f7f8aa74db3,j178,sha,action,2,4
seqeralabs/action-tower-launch@51565b514bff1827cf34620de25d0055759f1fc9,seqeralabs,sha,action,2,4
prefix-dev/setup-pixi@5185adfbffb4bd703da3010310260805d89ebb11,prefix-dev,sha,action,4,4
pnpm/action-setup@0e279bb959325dab635dd2c09392533439d90093,pnpm,sha,action,2,4
chromaui/action@v1,chromaui,tag,action,2,4
muhfaris/request-action@v0.1.2,muhfaris,tag,action,2,4
dependabot/fetch-metadata@v2.3.0,dependabot,tag,action,4,4
ncipollo/release-action@v1,ncipollo,tag,action,2,4
anothrNick/github-tag-action@1.64.0,anothrNick,tag,action,4,4
dorny/paths-filter@v3,dorny,tag,action,2,4
marocchino/sticky-pull-request-comment@v2,marocchino,tag,action,1,4
astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b,astral-sh,sha,action,2,4
pnpm/action-setup@v4,pnpm,tag,action,1,4
eWaterCycle/setup-apptainer@main,eWaterCycle,branch,action,4,4
octokit/request-action@v2.x,octokit,tag,action,3,4
pietrobolcato/action-read-yaml@1.1.0,pietrobolcato,tag,action,4,4
conda-incubator/setup-miniconda@a4260408e20b96e80095f42ff7f1a15b27dd94ca,conda-incubator,sha,action,4,4
dorny/paths-filter@v2,dorny,tag,action,4,4
gradle/gradle-build-action@v2,gradle,tag,action,3,4
NuGet/setup-nuget@v1,NuGet,tag,action,2,4
nf-core/setup-nf-test@v1,nf-core,tag,action,3,4
astral-sh/setup-uv@d4b2f3b6ecc6e67c4457f6d3e41ec42d3d0fcb86,astral-sh,sha,action,3,4
Azure/functions-action@v1,Azure,tag,action,4,4
nf-core/setup-nf-test@4069fbbaabe94c08faba4ad261bfa88225ba133f,nf-core,sha,action,1,4
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,action,1,4
GuillaumeFalourd/assert-command-line-output@2cd32f7751887b5ef1886521de68ea2ec3e2aee7,GuillaumeFalourd,sha,action,1,4
chetan/git-restore-mtime-action@bca85c11349c76b2dbac06d07edf6c2407dbab1e,chetan,sha,action,2,4
webfactory/ssh-agent@v0.9.0,webfactory,tag,action,1,4
softprops/action-gh-release@v2,softprops,tag,action,4,4
nf-core/setup-nextflow@b9f764e8ba5c76b712ace14ecbfcef0e40ae2dd8,nf-core,sha,action,1,3
peter-evans/create-or-update-comment@v4,peter-evans,tag,action,1,3
prefix-dev/setup-pixi@a0af7a228712d6121d37aba47adf55c1332c9c2e,prefix-dev,sha,action,2,3
rzr/fediverse-action@563159eb8d45f70ab6aaba36ed55cd037e51f441,rzr,sha,action,3,3
clowdhaus/terraform-composite-actions/pre-commit@v1.11.1,clowdhaus,tag,action,1,3
prefix-dev/setup-pixi@v0.9.6,prefix-dev,tag,action,1,3
databricks/setup-cli@main,databricks,branch,action,1,3
dependabot/fetch-metadata@v1.6.0,dependabot,tag,action,2,3
jwalton/gh-find-current-pr@v1,jwalton,tag,action,1,3
chrnorm/deployment-status@6df8d036fd2fee9eb82936733953da1f8382b41e,chrnorm,sha,action,2,3
nichmor/minimal-read-yaml@v0.0.2,nichmor,tag,action,3,3
r-lib/actions/setup-tinytex@v2,r-lib,tag,action,3,3
r-lib/actions/setup-r-dependencies@bd49c52ffe281809afa6f0fecbf37483c5dd0b93,r-lib,sha,action,3,3
